id,label
158023,True
165153,True
188545,True
192985,True
231747,True
192119,True
209331,True
167495,True
190871,True
200145,True
200389,True
202126,True
203376,True
208722,True
210257,True
212622,True
212831,True
239085,True
20801,True
177003,True
182521,True
192448,True
193041,True
200104,True
207865,True
210514,True
215914,True
218667,True
230621,True
239818,True
193080,True
199556,True
205452,True
209658,True
215698,True
216267,True
228702,True
231866,True
164240,True
167948,True
177683,True
186153,True
188943,True
189509,True
189513,True
189596,True
192387,True
197445,True
201024,True
209499,True
211110,True
212198,True
212218,True
213345,True
216352,True
223848,True
224232,True
231281,True
231478,True
232363,True
232411,True
234642,True
238794,True
185122,True
186942,True
188350,True
188377,True
189332,True
189511,True
192505,True
192629,True
195864,True
201535,True
202556,True
202652,True
202811,True
204485,True
208093,True
208574,True
209981,True
212190,True
216594,True
224334,True
224458,True
232656,True
235073,True
235243,True
237692,True
239053,True
251854,True
252371,True
138956,True
143076,False
155862,True
175943,False
178603,True
180930,False
183277,True
183898,True
186345,False
188567,False
189575,False
190286,False
192984,False
194765,True
197061,False
198176,False
198219,True
199451,False
204639,False
204963,False
205498,False
206113,True
206517,False
207410,False
208128,False
208418,False
209989,False
210935,False
212616,False
213648,False
216393,False
220697,False
220814,False
222492,False
222665,False
224293,False
226161,False
228251,False
230142,False
230666,False
230938,False
232756,False
234236,False
234378,False
234396,False
235212,False
235790,False
235805,False
237383,False
238074,False
240130,False
241084,False
241096,False
241486,False
241721,False
241852,False
246430,False
162835,False
163587,False
168542,True
184134,False
184344,False
190460,False
198706,False
199434,False
201942,False
203574,False
203841,False
207862,False
208670,False
208830,False
210035,False
210315,False
210406,False
213565,False
214997,False
215333,False
216460,False
216547,False
219693,False
220834,False
225193,False
225375,False
225850,False
226271,False
226790,False
228618,False
229558,False
230481,False
230869,False
231443,False
231677,False
232293,False
232488,False
232730,False
233049,False
233064,False
233419,False
234153,False
239580,False
241464,False
241637,False
242444,False
242516,False
246669,False
247851,False
253163,False
256790,False
41236,True
146536,False
157481,False
168651,False
178509,False
179645,False
181458,False
183512,False
183711,False
184087,False
184200,False
184432,False
189881,False
192318,True
193082,False
193301,False
193474,False
193698,False
193747,False
197655,False
198717,False
199110,False
199482,False
199845,False
200260,False
200458,False
200724,False
201153,False
201305,False
201455,False
202648,False
202884,False
204525,False
204638,False
204935,False
205693,False
209889,False
210243,False
210411,False
211688,False
212096,False
212188,False
212194,False
212523,False
213661,False
215316,False
217870,False
220651,False
222077,False
223697,False
223952,False
224179,False
225659,False
226753,False
226754,False
227127,False
227796,False
228941,False
229984,False
230182,False
230375,False
231352,False
233096,False
233927,False
233934,False
236276,False
236401,False
239301,False
240950,False
241461,False
241788,False
243576,False
244260,False
251517,False
253072,False
255475,False
256630,False
120533,True
164835,False
169416,False
172871,False
173426,False
178005,False
178086,False
178562,False
179813,True
187598,False
188152,False
189242,True
190941,False
192366,False
192883,False
193105,False
194404,False
198141,False
198950,False
199304,False
199503,False
200610,False
202477,False
204923,False
205569,False
205678,False
205686,False
205988,False
206511,False
206585,False
207566,False
208618,False
209519,False
210008,False
210324,False
210413,False
211256,False
211738,False
211748,False
211990,False
212242,False
212442,False
212814,False
213331,False
213516,False
214047,False
214097,False
214979,False
216201,False
216320,False
216354,False
216388,False
216409,False
216435,False
221992,False
223273,False
223959,False
224081,False
224411,False
225100,False
225953,False
226221,False
226226,False
226491,False
226851,False
227236,False
227535,False
229237,False
229261,False
229391,False
229582,False
230225,False
230256,False
230258,False
230294,False
230347,False
230384,False
230430,False
231943,False
231969,False
232580,False
233195,False
233486,False
234577,False
235173,False
236772,False
236786,False
236791,False
236792,False
237678,False
237679,False
238067,False
239231,False
241671,False
243715,False
243812,False
247394,False
247819,False
251809,False
253149,False
140233,False
163489,False
171579,False
171791,False
173221,False
173608,False
176550,False
177388,False
178213,False
181291,False
182494,False
184392,False
189271,False
191043,False
192563,False
193165,False
193283,False
193983,False
196978,False
198164,False
199564,False
199987,False
200155,False
200159,False
200888,False
201389,False
202024,False
202335,False
202695,False
203263,False
204234,False
204311,False
205175,False
205632,False
207421,False
207439,False
207863,False
208268,False
208333,False
208421,False
208448,False
208461,False
208596,False
209297,False
209846,False
210385,False
210897,False
210930,False
211300,False
212462,False
215223,False
215330,False
215998,False
216475,False
217036,False
218339,False
219522,False
219683,False
219789,False
220018,False
220093,False
220971,False
221087,False
222331,False
222558,False
224196,False
224309,False
224371,False
225201,False
226162,False
226300,False
226710,False
227290,False
227890,False
227950,False
228093,False
228520,False
228881,False
229668,False
229752,False
229906,False
230201,False
230204,False
230271,False
230313,False
230658,False
230767,False
230977,False
231591,False
231691,False
231936,False
232665,False
233500,False
233731,False
234574,False
234742,False
234943,False
235410,False
235844,False
236045,False
236403,False
236480,False
236496,False
236632,False
236703,False
